receta_uuid,receta_titulo,ingrediente_id,ingrediente_linea,cantidad_original,cantidad_conv,unidad,ingrediente_nombre,ingrediente_linea_limpia,ingrediente_nombre_limpio,unidad_limpia,tokens_linea,lemas_linea,tokens_ingrediente,lemas_ingrediente,ingrediente_linea_lematizada,ingrediente_nombre_lematizado
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,4,1 cucharadita de comino molido,1,1.0,cucharadita,comino molido,1 cucharadita de comino molido,comino molido,cucharadita,"['1', 'cucharadita', 'de', 'comino', 'molido']","['1', 'cucharadita', 'de', 'comino', 'molido']","['comino', 'molido']","['comino', 'molido']",1 cucharadita de comino molido,comino molido
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,5,Un cuarto de cucharadita de achiote,,,,Un cuarto de cucharadita de achiote,un cuarto de cucharadita de achiote,un cuarto de cucharadita de achiote,,"['un', 'cuarto', 'de', 'cucharadita', 'de', 'achiote']","['uno', 'cuarto', 'de', 'cucharadita', 'de', 'achiote']","['un', 'cuarto', 'de', 'cucharadita', 'de', 'achiote']","['uno', 'cuarto', 'de', 'cucharadita', 'de', 'achiote']",uno cuarto de cucharadita de achiote,uno cuarto de cucharadita de achiote
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,6,3 mazorcas de maíz cortado en 3 piezas,3,3.0,,mazorcas de maíz cortado en 3 piezas,3 mazorcas de maiz cortado en 3 piezas,mazorcas de maiz cortado en 3 piezas,,"['3', 'mazorcas', 'de', 'maiz', 'cortado', 'en', '3', 'piezas']","['3', 'mazorca', 'de', 'maiz', 'cortado', 'en', '3', 'pieza']","['mazorcas', 'de', 'maiz', 'cortado', 'en', '3', 'piezas']","['mazorca', 'de', 'maiz', 'cortado', 'en', '3', 'pieza']",3 mazorca de maiz cortado en 3 pieza,mazorca de maiz cortado en 3 pieza
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,7,12 tazas de agua o más si es necesario,12,12.0,tazas,agua o más si es necesario,12 tazas de agua o mas si es necesario,agua o mas si es necesario,taza,"['12', 'tazas', 'de', 'agua', 'o', 'mas', 'si', 'es', 'necesario']","['12', 'taza', 'de', 'agua', 'o', 'mas', 'si', 'ser', 'necesario']","['agua', 'o', 'mas', 'si', 'es', 'necesario']","['agua', 'o', 'mas', 'si', 'ser', 'necesario']",12 taza de agua o mas si ser necesario,agua o mas si ser necesario
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,8,8 piezas de pollo,8,8.0,,piezas de pollo,8 piezas de pollo,piezas de pollo,,"['8', 'piezas', 'de', 'pollo']","['8', 'pieza', 'de', 'pollo']","['piezas', 'de', 'pollo']","['pieza', 'de', 'pollo']",8 pieza de pollo,pieza de pollo
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,9,1 libra de carne de cerdo o costillas de cerdo,1,1.0,libra,carne de cerdo o costillas de cerdo,1 libra de carne de cerdo o costillas de cerdo,carne de cerdo o costillas de cerdo,libra,"['1', 'libra', 'de', 'carne', 'de', 'cerdo', 'o', 'costillas', 'de', 'cerdo']","['1', 'libra', 'de', 'carne', 'de', 'cerdo', 'o', 'costilla', 'de', 'cerdo']","['carne', 'de', 'cerdo', 'o', 'costillas', 'de', 'cerdo']","['carne', 'de', 'cerdo', 'o', 'costilla', 'de', 'cerdo']",1 libra de carne de cerdo o costilla de cerdo,carne de cerdo o costilla de cerdo
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,10,1 libra de carne de res cortada en trozos,1,1.0,libra,carne de res cortada en trozos,1 libra de carne de res cortada en trozos,carne de res cortada en trozos,libra,"['1', 'libra', 'de', 'carne', 'de', 'res', 'cortada', 'en', 'trozos']","['1', 'libra', 'de', 'carne', 'de', 'r', 'cortado', 'en', 'trozo']","['carne', 'de', 'res', 'cortada', 'en', 'trozos']","['carne', 'de', 'r', 'cortado', 'en', 'trozo']",1 libra de carne de r cortado en trozo,carne de r cortado en trozo
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,11,2 plátanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas,2,2.0,,plátanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas,2 platanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas,platanos verdes pelados y cortados transversalmente en pedazos de 2 pulgadas,,"['2', 'platanos', 'verdes', 'pelados', 'y', 'cortados', 'transversalmente', 'en', 'pedazos', 'de', '2', 'pulgadas']","['2', 'platano', 'verde', 'pelado', 'y', 'cortado', 'transversalmente', 'en', 'pedazos', 'de', '2', 'pulgada']","['platanos', 'verdes', 'pelados', 'y', 'cortados', 'transversalmente', 'en', 'pedazos', 'de', '2', 'pulgadas']","['platano', 'verde', 'pelado', 'y', 'cortado', 'transversalmente', 'en', 'pedazos', 'de', '2', 'pulgada']",2 platano verde pelado y cortado transversalmente en pedazos de 2 pulgada,platano verde pelado y cortado transversalmente en pedazos de 2 pulgada
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,12,4 papas blancas medianas peladas y cortadas por la mitad,4,4.0,,papas blancas medianas peladas y cortadas por la mitad,4 papas blancas medianas peladas y cortadas por la mitad,papas blancas medianas peladas y cortadas por la mitad,,"['4', 'papas', 'blancas', 'medianas', 'peladas', 'y', 'cortadas', 'por', 'la', 'mitad']","['4', 'papas', 'blanco', 'mediano', 'pelada', 'y', 'cortado', 'por', 'el', 'mitad']","['papas', 'blancas', 'medianas', 'peladas', 'y', 'cortadas', 'por', 'la', 'mitad']","['papa', 'blanco', 'mediano', 'pelada', 'y', 'cortado', 'por', 'el', 'mitad']",4 papas blanco mediano pelada y cortado por el mitad,papa blanco mediano pelada y cortado por el mitad
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,13,1 libra de yuca en trozos grandes,1,1.0,libra,yuca en trozos grandes,1 libra de yuca en trozos grandes,yuca en trozos grandes,libra,"['1', 'libra', 'de', 'yuca', 'en', 'trozos', 'grandes']","['1', 'libra', 'de', 'yuca', 'en', 'trozo', 'grande']","['yuca', 'en', 'trozos', 'grandes']","['yuca', 'en', 'trozo', 'grande']",1 libra de yuca en trozo grande,yuca en trozo grande
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,14,Un cuarto de taza de cilantro fresco picado,,,,Un cuarto de taza de cilantro fresco picado,un cuarto de taza de cilantro fresco picado,un cuarto de taza de cilantro fresco picado,,"['un', 'cuarto', 'de', 'taza', 'de', 'cilantro', 'fresco', 'picado']","['uno', 'cuarto', 'de', 'taza', 'de', 'cilantro', 'fresco', 'picado']","['un', 'cuarto', 'de', 'taza', 'de', 'cilantro', 'fresco', 'picado']","['uno', 'cuarto', 'de', 'taza', 'de', 'cilantro', 'fresco', 'picado']",uno cuarto de taza de cilantro fresco picado,uno cuarto de taza de cilantro fresco picado
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,15,Un cuarto de cucharadita de pimienta molida,,,,Un cuarto de cucharadita de pimienta molida,un cuarto de cucharadita de pimienta molida,un cuarto de cucharadita de pimienta molida,,"['un', 'cuarto', 'de', 'cucharadita', 'de', 'pimienta', 'molida']","['uno', 'cuarto', 'de', 'cucharadita', 'de', 'pimienta', 'molido']","['un', 'cuarto', 'de', 'cucharadita', 'de', 'pimienta', 'molida']","['uno', 'cuarto', 'de', 'cucharadita', 'de', 'pimienta', 'molido']",uno cuarto de cucharadita de pimienta molido,uno cuarto de cucharadita de pimienta molido
86af61e6-e16a-11ed-bcf5-a96d6180cd25,Sancocho Trifásico,16,1 cucharadita de sal,1,1.0,cucharadita,sal,1 cucharadita de sal,sal,cucharadita,"['1', 'cucharadita', 'de', 'sal']","['1', 'cucharadita', 'de', 'sal']",['sal'],['sal'],1 cucharadita de sal,sal
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,1,"1 posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas",1,1.0,,"posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas","1 posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas","posta o muchacho de 3 a 4 libras, cortada en rodajas gruesas",,"['1', 'posta', 'o', 'muchacho', 'de', '3', 'a', '4', 'libras', 'cortada', 'en', 'rodajas', 'gruesas']","['1', 'posta', 'o', 'muchacho', 'de', '3', 'a', '4', 'libras', 'cortado', 'en', 'rodaja', 'grueso']","['posta', 'o', 'muchacho', 'de', '3', 'a', '4', 'libras', 'cortada', 'en', 'rodajas', 'gruesas']","['posta', 'o', 'muchacho', 'de', '3', 'a', '4', 'libras', 'cortado', 'en', 'rodaja', 'grueso']",1 posta o muchacho de 3 a 4 libras cortado en rodaja grueso,posta o muchacho de 3 a 4 libras cortado en rodaja grueso
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,2,2 tazas de caldo de carne,2,2.0,tazas,caldo de carne,2 tazas de caldo de carne,caldo de carne,taza,"['2', 'tazas', 'de', 'caldo', 'de', 'carne']","['2', 'taza', 'de', 'caldo', 'de', 'carne']","['caldo', 'de', 'carne']","['caldo', 'de', 'carne']",2 taza de caldo de carne,caldo de carne
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,3,3 tazas de agua,3,3.0,tazas,agua,3 tazas de agua,agua,taza,"['3', 'tazas', 'de', 'agua']","['3', 'taza', 'de', 'agua']",['agua'],['agua'],3 taza de agua,agua
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,4,1 taza de salsa de aliños ver la receta aquí,1,1.0,taza,salsa de aliños ver la receta aquí,1 taza de salsa de alinos ver la receta aqui,salsa de alinos ver la receta aqui,taza,"['1', 'taza', 'de', 'salsa', 'de', 'alinos', 'ver', 'la', 'receta', 'aqui']","['1', 'taza', 'de', 'salsa', 'de', 'alino', 'ver', 'el', 'receta', 'aqui']","['salsa', 'de', 'alinos', 'ver', 'la', 'receta', 'aqui']","['salsar', 'de', 'alino', 'ver', 'el', 'receta', 'aqui']",1 taza de salsa de alino ver el receta aqui,salsar de alino ver el receta aqui
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,5,2 tazas de tomate picado,2,2.0,tazas,tomate picado,2 tazas de tomate picado,tomate picado,taza,"['2', 'tazas', 'de', 'tomate', 'picado']","['2', 'taza', 'de', 'tomate', 'picado']","['tomate', 'picado']","['tomatir', 'picado']",2 taza de tomate picado,tomatir picado
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,6,1 cucharadita de comino en polvo,1,1.0,cucharadita,comino en polvo,1 cucharadita de comino en polvo,comino en polvo,cucharadita,"['1', 'cucharadita', 'de', 'comino', 'en', 'polvo']","['1', 'cucharadita', 'de', 'comino', 'en', 'polvo']","['comino', 'en', 'polvo']","['comino', 'en', 'polvo']",1 cucharadita de comino en polvo,comino en polvo
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,7,½ cucharadita de sazón con el color,½,0.5,cucharadita,sazón con el color,1/2 cucharadita de sazon con el color,sazon con el color,cucharadita,"['1/2', 'cucharadita', 'de', 'sazon', 'con', 'el', 'color']","['1/2', 'cucharaditar', 'de', 'sazon', 'con', 'el', 'color']","['sazon', 'con', 'el', 'color']","['sazon', 'con', 'el', 'color']",1/2 cucharaditar de sazon con el color,sazon con el color
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,8,Sal y pimienta al gusto,,,,Sal y pimienta al gusto,sal y pimienta al gusto,sal y pimienta al gusto,,"['sal', 'y', 'pimienta', 'al', 'gusto']","['sal', 'y', 'pimiento', 'al', 'gusto']","['sal', 'y', 'pimienta', 'al', 'gusto']","['sal', 'y', 'pimiento', 'al', 'gusto']",sal y pimiento al gusto,sal y pimiento al gusto
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,9,8 papas pequeñas enteras peladas,8,8.0,,papas pequeñas enteras peladas,8 papas pequenas enteras peladas,papas pequenas enteras peladas,,"['8', 'papas', 'pequenas', 'enteras', 'peladas']","['8', 'papas', 'pequena', 'entero', 'pelada']","['papas', 'pequenas', 'enteras', 'peladas']","['papa', 'pequena', 'entero', 'pelada']",8 papas pequena entero pelada,papa pequena entero pelada
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,10,½ libra de yuca fresca o congelada,½,0.5,libra,yuca fresca o congelada,1/2 libra de yuca fresca o congelada,yuca fresca o congelada,libra,"['1/2', 'libra', 'de', 'yuca', 'fresca', 'o', 'congelada']","['1/2', 'libra', 'de', 'yuca', 'fresca', 'o', 'congelar']","['yuca', 'fresca', 'o', 'congelada']","['yuca', 'fresca', 'o', 'congelado']",1/2 libra de yuca fresca o congelar,yuca fresca o congelado
86af61e7-e16a-11ed-8914-a96d6180cd25,Sudado de Posta o Muchacho,11,Cilantro fresco,,,,Cilantro fresco,cilantro fresco,cilantro fresco,,"['cilantro', 'fresco']","['cilantro', 'fresco']","['cilantro', 'fresco']","['cilantro', 'fresco']",cilantro fresco,cilantro fresco
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,1,1 cucharadita de aceite vegetal,1,1.0,cucharadita,aceite vegetal,1 cucharadita de aceite vegetal,aceite vegetal,cucharadita,"['1', 'cucharadita', 'de', 'aceite', 'vegetal']","['1', 'cucharadita', 'de', 'aceite', 'vegetal']","['aceite', 'vegetal']","['aceite', 'vegetal']",1 cucharadita de aceite vegetal,aceite vegetal
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,2,1 taza de chorizo en rodajas,1,1.0,taza,chorizo en rodajas,1 taza de chorizo en rodajas,chorizo en rodajas,taza,"['1', 'taza', 'de', 'chorizo', 'en', 'rodajas']","['1', 'taza', 'de', 'chorizo', 'en', 'rodaja']","['chorizo', 'en', 'rodajas']","['chorizo', 'en', 'rodaja']",1 taza de chorizo en rodaja,chorizo en rodaja
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,3,½ taza de cebolla picada,½,0.5,taza,cebolla picada,1/2 taza de cebolla picada,cebolla picada,taza,"['1/2', 'taza', 'de', 'cebolla', 'picada']","['1/2', 'taza', 'de', 'cebolla', 'picado']","['cebolla', 'picada']","['cebollo', 'picado']",1/2 taza de cebolla picado,cebollo picado
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,4,1 diente de ajo picado,1,1.0,diente,ajo picado,1 diente de ajo picado,ajo picado,diente,"['1', 'diente', 'de', 'ajo', 'picado']","['1', 'diente', 'de', 'ajo', 'picado']","['ajo', 'picado']","['agir', 'picado']",1 diente de ajo picado,agir picado
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,5,½ taza de cebolla larga picada,½,0.5,taza,cebolla larga picada,1/2 taza de cebolla larga picada,cebolla larga picada,taza,"['1/2', 'taza', 'de', 'cebolla', 'larga', 'picada']","['1/2', 'taza', 'de', 'cebolla', 'largo', 'picada']","['cebolla', 'larga', 'picada']","['cebollo', 'largo', 'picada']",1/2 taza de cebolla largo picada,cebollo largo picada
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,6,½ taza de tomates picados,½,0.5,taza,tomates picados,1/2 taza de tomates picados,tomates picados,taza,"['1/2', 'taza', 'de', 'tomates', 'picados']","['1/2', 'taza', 'de', 'tomate', 'picado']","['tomates', 'picados']","['tomate', 'picado']",1/2 taza de tomate picado,tomate picado
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,7,5 tazas de agua,5,5.0,tazas,agua,5 tazas de agua,agua,taza,"['5', 'tazas', 'de', 'agua']","['5', 'taza', 'de', 'agua']",['agua'],['agua'],5 taza de agua,agua
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,8,1 taza de lentejas,1,1.0,taza,lentejas,1 taza de lentejas,lentejas,taza,"['1', 'taza', 'de', 'lentejas']","['1', 'taza', 'de', 'lenteja']",['lentejas'],['lenteja'],1 taza de lenteja,lenteja
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,9,½ cucharadita de sal,½,0.5,cucharadita,sal,1/2 cucharadita de sal,sal,cucharadita,"['1/2', 'cucharadita', 'de', 'sal']","['1/2', 'cucharaditar', 'de', 'sal']",['sal'],['sal'],1/2 cucharaditar de sal,sal
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,10,½ cucharadita de pimienta,½,0.5,cucharadita,pimienta,1/2 cucharadita de pimienta,pimienta,cucharadita,"['1/2', 'cucharadita', 'de', 'pimienta']","['1/2', 'cucharaditar', 'de', 'pimienta']",['pimienta'],['pimienta'],1/2 cucharaditar de pimienta,pimienta
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,11,½ taza de zanahorias ralladas,½,0.5,taza,zanahorias ralladas,1/2 taza de zanahorias ralladas,zanahorias ralladas,taza,"['1/2', 'taza', 'de', 'zanahorias', 'ralladas']","['1/2', 'tazar', 'de', 'zanahoria', 'rallada']","['zanahorias', 'ralladas']","['zanahoria', 'rallada']",1/2 tazar de zanahoria rallada,zanahoria rallada
86af71bc-e16a-11ed-b130-a96d6180cd25,Sopa de Lentejas Colombiana,12,½ taza de papas cortadas en trozos,½,0.5,taza,papas cortadas en trozos,1/2 taza de papas cortadas en trozos,papas cortadas en trozos,taza,"['1/2', 'taza', 'de', 'papas', 'cortadas', 'en', 'trozos']","['1/2', 'taza', 'de', 'papas', 'cortado', 'en', 'trozo']","['papas', 'cortadas', 'en', 'trozos']","['papa', 'cortado', 'en', 'trozo']",1/2 taza de papas cortado en trozo,papa cortado en trozo
